;Definiciones;;;;;;Contexto de aplicabilidad;;;;;;;;;
AP - 0094;Los datos deben estar distorsionados si la aplicación no está en foco.;Desarrollo funcional o no funcional;Mitigar que visualicen datos confidenciales al momento de interactuar con otras aplicaciones.;;;;x;x;x;;;;;;x;
AP - 0095;La información confidencial y restringida debe ser cifrada en reposo (mientras está almacenada);Desarrollo funcional o no funcional;Mitigar que personas mal intensionadas puedan visualizar información confidencial de los clientes o usuarios de forma plana, tales como: clave, numeros de cuenta, numero de tarjetas, etc..;;;;;x;x;x;x;;x;x;x;
AP - 0096;La información de los dispositivos deberá ser eliminada después de 10 intentos fallidos de autenticación, cuando la autenticación es local.;Desarrollo funcional o no funcional;Mitigar ataques de fuerza bruta.;;;;;;x;;;;x;;x;
AP - 0097;Un sistema debe pertenecer únicamente a uno de los ambientes definidos. (Desarrollo, Pruebas - QA, Producción);Procedimiento definido e implementado;"Mitigar que una plataforma no productiva impacte a los ambientes de producción, logrando asi una indisponibilidad o intermitencia en el servicio.
Mitigar el riesgo de que una vulnerabilidad de un sistema no productivo comprometa un sistema productivo.
Mitigar el riesgo de que el equipo de desarrollo y certificación tenga acceso a datos productivos sin autorización.";;;;x;x;x;x;x;x;x;x;x;
AP - 0098;La información técnica (nombre de producto, versión o configuración) de servicios expuestos no debe ser accesible. ;Desarrollo funcional o no funcional;Mitigar fuga de información tecnica;;;;x;x;;x;x;x;x;x;x;
AP - 0099;Las aplicaciones no deben almacenar información confidencial en el cliente (Ej.: navegador web, cookies, local storage, archivos, etc.).;Desarrollo funcional o no funcional;"Mitigar la fuga de información por malware en los equipos de los usuarios
Mitigar la fuga de información por acceso de personas mal intencionados a los equipos de los usuarios";;;;x;x;x;x;x;;;;x;
AP - 0100;Si la aplicación detecta el evento Captura de Pantalla (ScreenShot), debe enmascarar los datos confidenciales que se encuentren visibles.;Desarrollo funcional o no funcional;Mitigar la fuga de información;;;;x;x;x;;;;x;;x;
AP - 0101;Se debe evitar el uso de recursos compartidos del móvil (directorios de acceso público, medios removibles como SD, caches, almacenamiento temporal, agenda de direcciones, galerías de imágenes, archivos de configuración).;Desarrollo funcional o no funcional;Mitigar la fuga de información por guardar la información confidencial de forma compartida con otras aplicaciones;;;;;;x;;;;;;;
AP - 0102;En casos de ser indispensable almacenar información confidencial en el dispositivo móvil o navegador se deben utilizar las APIs de cifrado de datos que provee el sistema operativo o navegador, independiente de si la información se guarda en la zona segura.;Desarrollo funcional o no funcional;"Mitigar la fuga de información
Mitigar la suplantación de usuarios";;;;x;x;x;;;;x;x;x;
AP - 0103;Los archivos generados de forma dinámica por el sistema deben tener definido un Content-Type explícito.;Desarrollo funcional o no funcional;Mitigar que se carguen hojas de estilo o scripts maliciosos.;;;;x;x;x;x;x;;;;;
AP - 0104;Tanto cliente como servidor debe usar el mismo esquema de codificación, aun cuando los rescursos se creen dinamicamente (Ej: Charset);Desarrollo funcional o no funcional;Mitigar ataques basados inyecciones que se aprovechan en la códificación del sistema;;;;x;x;x;x;x;;;;;
AP - 0105;El código fuente de un sistema no debe realizar funciones diferentes a las que han sido especificadas en los requisitos funcionales.;Desarrollo funcional o no funcional;"Mitigar puertas traseras.
Mitigar funcionalidades inseguras.
Mitigar bombas de lógicas.
Mitigar funcionalidades mal intencionadas.";;;;x;x;x;x;x;x;x;x;x;
AP - 0106;Garantizar que el código fuente de la aplicación o sus dependencias no tengan puertas traseras o malas prácticas que permitan alterar el comportamiento natural de la aplicación o saltarse controles de seguridad;Desarrollo funcional o no funcional;Mitigar que a través de las malas prácticas en el desarrollo del software o algún proceso inadecuado del desarrollador pueda ocasionar algún tipo de fuga de información.;;;;x;x;x;x;x;x;x;x;x;
AP - 0107;La codificación del sistema debe estar implementada en una versión de un lenguaje de programación estable, actualizada, probada y libre de vulnerabilidades conocidas.;Procedimiento definido e implementado;Mitigar vulnerabilidades provenientes del lenguaje de programación desactualizadas.;;;;x;x;x;x;x;x;x;x;x;
AP - 0108;La salida de información del sistema debe estar codificada en el lenguaje correspondiente (escaping).;Desarrollo funcional o no funcional;Mitigar la codificacion de codigos de comandos mal intencionados.;;;;x;x;x;x;x;;x;x;;
AP - 0109;El código debe definir opciones por defecto seguras que garanticen las fallas seguras en la aplicación.;Desarrollo funcional o no funcional;Mitigar que la aplicación se comporte de una manera incontrolada, fugando información o realizando funciones que no debe, cuando se presente un valor que no cumple con las condiciones.;;;;x;x;x;x;x;x;x;x;x;
AP - 0110;Las funciones, métodos o clases deben ser invocadas en algún escenario funcional del sistema.;Desarrollo funcional o no funcional;Mitigar la ejecución de codigo malicioso o acciones no requeridas por el sistema.;;;;x;x;x;x;x;x;x;x;x;
AP - 0111;El código fuente debe estar implementado de tal forma que cierre cualquier recurso que se encuentre abierto y no esté siendo utilizado.;Desarrollo funcional o no funcional;Mitigar denegaciones de servicio por mal manejo de recursos.;;;;x;x;x;x;x;x;x;x;x;
AP - 0112;Las variables del código fuente deben estar inicializadas de forma explícita.;Desarrollo funcional o no funcional;Mitigar el mal uso de las variables para ejecutar código mal intencionado.;;;;x;x;x;x;x;x;x;x;x;
AP - 0113;El código fuente debe estar implementado de tal forma que todas las variables tengan un tipo de dato asociado.;Desarrollo funcional o no funcional;Mitigar el mal uso de las variables para ejecutar código mal intencionado.;;;;x;x;x;x;x;x;x;x;x;
AP - 0114;Los componentes provistos por terceros deben corresponder a versiones estables, probadas y actualizadas.;Desarrollo funcional o no funcional;Mitigar que los componentes no contengan vulnerabilidades conocidas, fallas o errores que afecten el normal desempeño de los componente.;;;;x;x;x;x;x;x;x;x;x;
AP - 0115;El sistema debe tener deshabilitadas las funciones que se conocen son inseguras.;Desarrollo funcional o no funcional;Mitigar el uso de funciones que sean catalogadas como inseguras para evitar que estas sean aprovechadas por algún atacante.;;;;x;x;x;x;x;x;x;x;x;
AP - 0116;El sistema debe tener deshabilitadas las funciones innecesarias;Desarrollo funcional o no funcional;Mitigar el uso de funciones que no sean necesarias para el normal funcionamiento del sistema con el fin de que estas sean aprovechadas por algún atacante.;;;;x;x;x;x;x;x;x;x;x;
AP - 0117;El software complementario (drivers, módulos de kernel, etc.) debe utilizar firmas digitales emitidas por el fabricante para garantizar su autenticidad.;Desarrollo funcional o no funcional;Mitigar la suplantación del Software de terceros;;;;;x;x;x;x;;x;x;x;
AP - 0118;Las rutas de carga implícita (variables de sistema como PATH) deben utilizar las rutas de mayor confianza (directorios de sistema operativo) antes de las rutas configurables por el usuario.;Desarrollo funcional o no funcional;Mitigar que las aplicaciones se encuentren alojadas en las ruta definidas por el sistema y no en carpetas personales.;;;;;x;x;x;x;;x;x;x;
AP - 0119;La aplicación no debe revelar detalles del sistema interno como stack traces, fragmentos de sentencias SQL, y nombres de base de datos o tablas. ;Desarrollo funcional o no funcional;Mitigar que información confidencial, del sistema o del funcionamiento del sistema, quede expuesta ante un error de la aplicación por un error causado por el usuario o consumidor.;;;;x;x;x;x;x;x;x;x;x;
AP - 0120;El sistema debe verificar y reportar en bitácora cambios en integridad de los archivos críticos del sistema.;Desarrollo funcional o no funcional;Mitigar modificaciones no autorizadas sobre aplicaciones que puede llevar a fugas de información, funcionamiento errado, denegación de servicio o ejecución de acciones mal intencionadas;;;;;x;;x;x;x;x;x;x;
AP - 0121;Se debe establecer los archivos críticos para cada sistema sobre los que se debe ejercer monitoreo a su integridad.;Procedimiento definido e implementado;Mitigar modificaciones no autorizadas sobre aplicaciones que puede llevar a fugas de información, funcionamiento errado, denegación de servicio o ejecución de acciones mal intencionadas;;;;x;x;x;x;x;x;x;x;x;
AP - 0122;El código fuente debe estar almacenado en un repositorio central.;Desarrollo funcional o no funcional;"Mitigar la modificación no autorizada del código fuente
Tener un control de versiones del código
Identificar cambios no autorizados en el código
Tener un control de cambios en el código";;;;x;x;x;x;x;x;x;x;x;
AP - 0123;El código debe compilarse o interpretarse de forma estricta y segura.;Desarrollo funcional o no funcional;"Mitigar vulnerabilidades provenientes del lenguaje de programación.

";;;;x;x;x;x;x;x;x;x;x;
AP - 0124;Los recursos o librerías que contengan código interpretado, deben ser almacenados en servidores controlados por la organización. (Ej.: Código JavaScript, CSS.);Desarrollo funcional o no funcional;Mitigar modificaciones no autorizadas sobre aplicaciones que puede llevar a fugas de información, funcionamiento errado, denegación de servicio o ejecución de acciones mal intencionadas;;;;x;x;x;;;;;;;
AP - 0125;Si el sistema debe transferir información entre páginas, debe realizarse a través de objetos de sesión.;Desarrollo funcional o no funcional;Mitigar que información confidencial de un usuario sea accedido por otro. Tambien aplica para Mitigar el robo de sesion.;;;;x;x;x;;;;;;;
AP - 0126;La transmisión de información confidencial o la ejecución de funciones sensibles debe realizarse mediante protocolos seguros que garanticen el cifrado de los datos, validen la integridad, y autentiquen al consumidor y al servidor;Desarrollo funcional o no funcional;"Mitigar la fuga de información por la captura de información en tránsito
Mitigar la ejecución de funciones por consumidores no autorizados
Mitigar la consulta de información por consumidores no autorizados
Garantizar la integridad de la información intercambiada
Mitigar la fuga de credenciales de autenticación que permiten la ejecucón de funciones sensibles
Mitigar ataques de hombre en el medio permitiendo la autenticación del servidor";;;;x;x;x;x;x;x;x;x;x;
AP - 0127;No se deben usar mensajes de texto (SMS, MMS) para el envío de información confidencial desde la aplicación.;Desarrollo funcional o no funcional;Mitigar fuga de información;;;;;x;;x;x;x;x;x;x;
AP - 0128;La aplicación debe garantizar que las peticiones que ejecuten transacciones no sigan un patrón discernible.;Desarrollo funcional o no funcional;Mitigar la manipulación de las solicitudes para obtener información confidencial o suplantar a otro usuario;;;;x;x;x;x;x;x;x;x;x;
AP - 0129;El sistema debe cerrar una sesión si se presenta un tiempo de inactividad por parte del usuario, superior o igual a 7 minutos para canales y 20 minutos para otro tipo de aplicaciones. Aplica tanto para front como para servicios.;Desarrollo funcional o no funcional;Mitigar que otro usuario se apodere de una sesión desatendida y suplante al usuario.;;;;x;x;x;x;x;;x;;x;
AP - 0130;Las sesiones concurrentes de un sistema se deben controlar o informar.;Desarrollo funcional o no funcional;Permitir a un usuario reconocer cuando otro usuario esta haciendo uso de su sesión.;;;;;x;;x;x;;;;x;
AP - 0131;El sistema debe permitir al usuario terminar la sesión de forma manual, desde cualquier recurso protegido por autenticación.;Desarrollo funcional o no funcional;Mitigar la suplantación de un usuario por el reuso del estado de sesión desde el mismo navegador.;;;;x;x;x;x;x;;x;;x;
AP - 0132;Al cerrarse la sesión de un usuario (automática o manual) se deben descartar los datos relacionados con la sesión del usuario tanto del lado del cliente como del lado del servidor.;Desarrollo funcional o no funcional;Mitigar que una nueva sesión coincidencialmente le de acceso a un usuario a la información o privilegios de otro usuario previamente autenticado;;;;x;x;x;x;x;;;;x;
AP - 0133;El sistema no debe dejar realizar ninguna acción a un usuario inhabilitado o bloqueado.;Desarrollo funcional o no funcional;Mitigar que se realicen acciones mal intencionadas con un usuario inhabilitado después de haber pasado el proceso de autenticación.;;;;;x;;x;x;;x;x;x;
AP - 0134;El registro de un evento de seguridad sensible en los logs debe generar una alarma o alerta.;Desarrollo funcional o no funcional;Actuar inmediatamente ante un incidente de seguridad;;;;;x;;x;x;x;x;x;x;
AP - 0135;Las claves de un solo uso deben tener una longitud mínima de 6 caracteres.;Desarrollo funcional o no funcional;Mitigar la suplantación de usuarios por intentos de adivinar el OTP;;;;;x;x;x;x;;x;;x;
AP - 0136;Las claves de un solo uso deben tener un validez máxima de 60 segundos.;Desarrollo funcional o no funcional;"Mitigar la suplantación de usuarios por intentos de adivinar el OTP
Mitigar que un OTP no usado, pueda ser usado en un tiempo futuro por una persona o sistema mal intensionado.";;;;;x;x;x;x;;x;;x;
AP - 0137;Los archivos operados en un sistema y los manipulados por los usuarios deben tener un tamaño máximo definido.;Desarrollo funcional o no funcional;Mitigar denegación de servicio por sobre carga al sistema.;;;;x;x;x;x;x;x;x;x;x;
AP - 0138;El sistema debe validar que el formato (estructura) de los archivos corresponda con su extensión.;Desarrollo funcional o no funcional;"Mitigar denegación de servicio por comportamiento inapropiado en la aplicación.
Mitigar la carga de software mal intencionado (malware)";;;;x;x;x;x;x;x;x;x;x;
AP - 0139;El sistema solo debe aceptar únicamente archivos cuyo formato (estructura) sea requerido por la operatividad del negocio.;Desarrollo funcional o no funcional;"Mitigar denegación de servicio por comportamiento inapropiado en la aplicación.
Mitigar la carga de software mal intencionado (malware)";;;;x;x;x;x;x;x;x;x;x;
AP - 0140;Los correos electrónicos de entradas y salida deben pasar por un filtro anti-spam.;Desarrollo funcional o no funcional;Mitigar la entrada y salida de malware;;;;;x;;x;x;x;x;x;x;
AP - 0141;Sistemas que empleen cuentas de correo para el registro de usuarios deben garantizar la unicidad de los correos, siguiendo el estándar de la estructura de dirección de correo RFC822.;Desarrollo funcional o no funcional;"Mitigar la creación de múltiples cuentas de usuario asociadas a un mismo correo por desconocer las reglas de estructura de los correos electrónicos.
Mitigar que se registren correos que no existen.";;;;x;x;x;x;x;;x;x;x;
AP - 0142;Debe usarse construcciones parametrizadas o procedimientos almacenados parametrizados para la creación dinámica de sentencias (ej.: java.sql.PreparedStatement);Desarrollo funcional o no funcional;"Mitigar denegaciones de servicio por mal manejo de recursos.
Mitigar ataques de SQL Injection.";;;;;x;x;x;x;;x;x;x;
AP - 0143;El sistema debe descartar toda la información potencialmente insegura que sea recibida por entradas de datos, independiente de la forma en la que se obtenga el dato (Ej.: Headers, get, post, JSON, XML, archivos, Intents, Activities, Query, Path, Cookies, etc.).;Desarrollo funcional o no funcional;Mitigar ataques del tipo inyección como SQL injection, XSS, buffer overflow, entre otros.;;;;x;x;x;x;x;x;x;x;x;
AP - 0144;El tiempo de los sistemas y equipos de la organización debe estar sincronizado con la hora oficial del país.;Procedimiento definido e implementado;"Garantizar que los logs de los sistemas esten sincronizadas y facilitar las investigaciones y correlacion de eventos.
Garantizar el buen funcionamiento de los Time-Stamp";;;;;x;;x;x;x;x;x;x;
AP - 0145;Las contraseñas temporales deben ser generadas de forma automática y aleatoria.;Desarrollo funcional o no funcional;Las contraseñas temporales no se comprometan y puedan ser usadas por delincuentes, logrando suplantar al usuario en el sistema. ;;;;;x;;x;x;;x;x;x;
AP - 0146;La autenticación del usuarios para el uso de aplicaciones de terceros debe realizarse mediante un front de autenticación propio (Ej.: Front de autenticación OAUTH).;Desarrollo funcional o no funcional;"Mitigar la captura de credenciales por parte de un tercero
Concentrar los esfuerzos de implementaciones de seguridad en un único portal";;;;x;x;x;x;x;;;;;
AP - 0147;La información confidencial y restringida debe estar cifrada en tránsito. Adicionalmente la información restringida debe ser cifrada a nivel de aplicación;Desarrollo funcional o no funcional;Mitigar que la información que se intercambia a traves de la redes externas o internas se enviada de forma isegura, lo que permitira a un atacante capturarla o modificarla en tránsito.;;;;x;x;x;x;x;x;;;x;
AP - 0148;El usuario con el que se ejecuta la aplicación debe contar con los mínimos privilegios y por lo tanto debe ser diferente a un usuario administrador.;Procedimiento definido e implementado;"Mitigar el acceso no autorizado a recursos por parte de la aplicación
Mitigar la fuga de información por accesos no autorizados a traves de la aplicación
Mitigar eventos de indisponibilidad del servicio
Mitigar la modificación no autorizada de datos a traves de la aplicación
Mitigar que una ataque a la aplicación no comprometa el sistema completo";;;;;x;;x;x;x;x;x;x;
AP - 0149;Las aplicaciones desarrolladas por la organización deben estar firmadas criptográficamente en el proceso de compilación para producción y así poder validar su origen.;Desarrollo funcional o no funcional;Mitigar que aplicaciones que fueron construidas por fuera del proceso de desarrollo ofical puedan ser ejecutadas en los sistemas del banco.;;;;;x;x;x;x;x;x;x;x;
AP - 0150;Garantizar que los diferentes componentes de una solución estén separados a nivel de red por los controles de seguridad que aplican (Ej.: Firewalls, WAF, IPS, IDS, etc.).;Procedimiento definido e implementado;Mitigar el riesgo de que al comprometerse un sistema el atacante pueda tener acceso a los demas;;;;x;x;;x;x;;;;x;
AP - 0151;Garantizar que las soluciones independicen la capa de presentación, la capa de control o lógica y la capa de datos o persistencia. ;Desarrollo funcional o no funcional;Mitigar el riesgo de que al comprometerse un sistema no se tenga acceso a las demas capas de la solución;;;;x;x;x;x;x;x;;;x;
AP - 0152;Los campos y formularios de ingreso de contraseña (Autenticación, asignación, cambio o restablecimiento) deben enmascarar la contraseña mientras se ingresa y deben evitar exponerla en recursos donde sean visibles.;Desarrollo funcional o no funcional;" 
Mitigar que personas mal intesionadas utilicen y/o cambien las contraseñas de los usuarios en los diferentes canales y/o aplicaciones.
";;;;x;x;x;;;;x;;x;
AP - 0153;Todos los controles de autenticación, validaciones  o autorización se deben realizar del lado del servidor y no del lado del cliente.;Desarrollo funcional o no funcional;"Mitigar la suplantación de usuarios
Tener control sobre los controles de autenticación";;;;x;x;x;x;x;x;x;x;x;
AP - 0154;Los sistemas de autenticación deben fallar de forma segura, evitando que en caso de error no se autentique o autorice al sujeto que está intentando acceder.;Desarrollo funcional o no funcional;"Mitigar la suplantación de usuarios
Mitigar que ante un evento de indisponibilidad los usuarios puedan realizar operaciones no autorizadas";;;;;x;;x;x;;x;x;x;
AP - 0155;Los campos de contraseñas deben fomentar el uso de frases como contraseñas (passphrases) y no impedir el uso de gestores de contraseñas, contraseñas largas o altamente complejas.;Desarrollo funcional o no funcional;Mitigar la suplantación de usuarios mediante un incremento considerable en la complejidad de las contraseñas y por lo tanto evitando ataques adivinación o de fuerza bruta.;;;;x;x;x;x;x;;x;;x;
AP - 0156;Los OTP enviados por correo electrónico o SMS deben ser la última opción ante un proceso de autenticación, e idealmente deben estar acompañados de otro mecanismo.;Desarrollo funcional o no funcional;"Mitigar la suplantación de usuarios por ataques como SIM Swap, Clonación de SIM, Phishing, Ingeniería Social, entre otros.
Mitigar la suplantación de clientes por captura del OTP por parte de funcionarios del operador celular";;;;x;x;x;x;x;;;;x;
AP - 0157;Las cuentas de usuario deben tener un bloqueo suave y un bloqueo duro, y éstas no son mutuamente excluyentes. El bloqueo de duro debe prevalecer sobre el suave, por lo que un bloqueo suave no debe sobre escribir el bloqueo duro.;Desarrollo funcional o no funcional;Mitigar que un usuario al que se le ha confirmado una conducta inapropiada pueda volver a ser usado en el sistema, manteniendo sus registros de auditoria y su historia.;;;;;x;;x;x;;x;;x;
AP - 0158;Si se usan preguntas reto como mecanismo de autenticación, estas deben estar diseñadas teniendo en cuenta la seguridad y la privacidad de los usuarios.;Procedimiento definido e implementado;"Mitigar demandas por discriminación
Mitigar pérdida de imagen por hacer preguntas consideradas poco éticas
Mitigar la suplantación de usuarios";;;;;x;;x;x;;x;;x;
AP - 0159;Ante una novedad de creación, cambio o restablecimiento de una contraseña, el sistema garantizar el cumplimiento de las políticas de seguridad y evitar la asignación de contraseñas conocidas como inseguras y comúnmente utilizadas.;Desarrollo funcional o no funcional;Mitigar la asignación de crendenciales que no cumplan con las políticas de seguridad;;;;;x;;x;x;;x;;;
AP - 0160;En un proceso de autenticación se debe garantizar que los tiempos de respuesta ante intentos fallidos o exitosos se ejecuten con el mismo tiempo promedio, independiente a si el usuario existe o no.;Desarrollo funcional o no funcional;Mitigar la enumeración de usuarios;;;;;x;;x;x;;x;;x;
AP - 0161;Se deben usar sistemas de manejo de sesiones preexistentes, vigentes y avalados por la organización.;Desarrollo funcional o no funcional;"Mitigar la suplantación de usuarios
Mitigar vulnerabilidades técnicas asociadas al manejo de sesión
Mitigar el secuestro de sesion
Reusar sistemas que han sido probados y cuyas vulnerabilidades pueden haber sido cerradas";;;;;x;;x;x;x;;;x;
AP - 0162;Las sesiones deben tener un tiempo de vida máxima, independiente de que haya actividad (Timeout absoluto), ;Desarrollo funcional o no funcional;"Mitigar la suplantación de usuarios
Mitigar el secuestro de sesión
Mitigar ataques de fuerza bruta sobre sesiones activas
Mitigar que un usuario mal intencionado se quede conectado indefinidamente independientemente si se realizan novedades sobre sus credenciales";;;;;x;;x;x;x;;;x;
AP - 0163;Sólo los identificadores de sesión generados por la aplicación deben ser reconocidos como activos por ésta.;Desarrollo funcional o no funcional;"Mitigar la suplantación de usuarios
Mitigar el secuestro de sesión
Mitigar el riesgo de que el compromiso de un sistema externo tenga efecto sobre el sistema en cuestión";;;;;x;;x;x;;;;x;
AP - 0164;Los identificadores de sesión deben ser aleatorios y tener una longitud de más de 256 bits (32 caracteres en ASCII).;Desarrollo funcional o no funcional;"Mitigar la suplantación de usuarios
Mitigar el secuestro de sesión
Mitigar ataques de fuerza bruta sobre sesiones activas";;;;;x;;x;x;;;;x;
AP - 0165;Se debe desactivar el listar directorios del HTTP.;Procedimiento definido e implementado;Mitigar la enumeración de recursos;;;;x;x;;x;x;;;;;
AP - 0166;Los servicios expuestos deben poder controlar o alertar cuando el número de peticiones que se hagan por parte de un consumidor este por fuera de lo normal (Rate limiting).;WAF;"Mitigar la fuga masiva de información desde un solo consumidor
Mitigar la ejecución de multiples acciones críticas desde un mismo consumidor
Mitigar la capacidad de generar una denegación del servicio por alta transaccionalidad";;;;;x;;x;x;;;;x;
AP - 0167;Las operaciones críticas deben requerir una autenticación fuerte antes de su ejecución.;Desarrollo funcional o no funcional;"Mitigar la suplantación de usuarios
Mejorar los niveles de seguridad de una aplicación";;;;;x;;x;x;;x;;x;
AP - 0168;Las operaciones críticas deben requerir un análisis de riesgo que permita prevenir su ejecución antes de ser procesadas.;Desarrollo funcional o no funcional;Mitigar la ejecución de transacciones que por su contexto pueden ser riesgosas;;;;;x;;x;x;;;;x;
AP - 0169;Las operaciones críticas deben requerir un control dual para su ejecución.;Desarrollo funcional o no funcional;"Mitigar la suplantación de usuarios en la ejecución de una operación cítica
Mitigar la posibilidad de fraude interno o externo en operaciones críticas
Mitigar la ejecución no autorizada de operaciones críticas para el negocio
Mitigar el riesgo operativo de la ejecución de una actividad de riesgo para el negocio";;;;;x;;x;x;;x;;x;
AP - 0170;Se debe garantizar que el ambiente de ejecución seleccionado para el desarrollo de la aplicación controle el Buffer Overflow.;Desarrollo funcional o no funcional;"Mitigar la explotación de vulnerabilidades que puedan llevar a tomar control del sistema o ejecutar acciones que no fueron programadas
Mitigar eventos que puedan afectar la disponibilidad del servicio";;;;x;x;x;x;x;x;x;x;x;
AP - 0171;Se debe validar que los datos de entrada del sistema cumplan con la longitud, formato y caracteres permitidos;Desarrollo funcional o no funcional;"Mitigar la inyección de datos no válidos en el sistema, manteniendo la consistencia de los datos.
Mitigar ataques de inyección como XSS,XML Injection, SQL Injection, JSON Injection, Buffer Overflow, entre otros.
Mitigar ataques de denegación de servicio";;;;x;x;x;x;x;x;x;;x;
AP - 0172;En JavaScript, los datos transferidos desde un contexto DOM a otro debe utilizar métodos seguros como .innerText o .val;Desarrollo funcional o no funcional;Mitigar la captura de datos por scripts no autorizados;;;;x;x;;;;;;;;
AP - 0173;Al programar se debe evitar el uso de funciones conocidas como inseguras. (Ej: En JavaScript, cuando se procese un JSON se debe usar el JSON.parse en vez de la función eval);Desarrollo funcional o no funcional;Mitigar la ajecución de comandos no autorizados entregados a traves de los datos que serán evaluados;;;;x;x;x;x;x;;;;;
AP - 0174;Cuando se desarrollen procesos criptográficos, al fallar, éstos deberán presentar errores genéricos que impidan revelar parcial o totalmente detalles del proceso.;Desarrollo funcional o no funcional;Mitigar que las fugas de información del proceso criptografico puedan ayudar a romper el sistema criptográfico.;;;;x;x;x;x;x;x;x;x;x;
AP - 0175;Los sistemas preconstruidos que posean la posibilidad de habilitar el modo de cumplimiento con FIPS 140-2 vigente para procesos criptográficos deben tenerlo habilitado (Ej: En WAS, Datapower, etc);Desarrollo funcional o no funcional;Mitigar que los sistemas usen algoritmos criptograficos inseguros que pueden llevar a vulnerabilidades de fuga de información, fallas en procesos de autenticación de sistemas o personas, fallas en validaciones de integridad entre otros.;;;;;x;;x;x;x;x;x;x;
AP - 0176;El cifrado asimétrico con RSA debe implementarse usando el padding OAEP;Desarrollo funcional o no funcional;"Mitigar el descifrado de los datos mediante rainbow tables
Aumentar la entropia del mensaje cifrado
Mitigar la fuga de información que ha sido cifrada";;;;x;;x;x;x;x;x;x;x;
AP - 0177;El cifrado simétrico con AES debe usarse en modo GCM (Gallois Counter Mode);Desarrollo funcional o no funcional;"Mitigar ataques que permitan identificar información a traves de los datos cifrados.
Mitigar ataques que permitan obtener la llave de cifrado
Mitigar ataques de criptoanálisis
Mitigar la fuga de información que ha sido cifrada";;;;x;;x;x;x;x;x;x;x;
AP - 0178;Todo cifrado con algoritmos simétricos que cifre un dato de un tamaño pequeño (Menos de 32 Bytes) debe usar un relleno aleatorio (Padding) que complete el tamaño;Desarrollo funcional o no funcional;"Mitigar el descifrado de los datos mediante rainbow tables
Aumentar la entropia del mensaje cifrado";;;;x;;x;x;x;x;x;x;x;
AP - 0179;Todo cifrado simétrico debe usar un Vector de Inicialización aleatorio que se calcule en el proceso de cifrado. El vector de inicialización debe ser de una logitud igual al de la llave de cifrado;Desarrollo funcional o no funcional;"Mitigar ataques que permitan identificar información a traves de los datos cifrados.
Mitigar ataques que permitan obtener la llave de cifrado
Mitigar ataques de criptoanálisis
Mitigar la fuga de información que ha sido cifrada";;;;x;;x;x;x;x;x;x;x;
AP - 0180;Los procesos criptográficos que son críticos para la organización deben usar sistemas que no expongan las llaves criptográficas durante su uso. Ej.: HSM o KMS.;Desarrollo funcional o no funcional;Mitigar que los procesos criptograficos críticos de la organización puedan ser modificados o comprometidos a nivel de memoria RAM o aplicación exponiendo las llaves o los datos que se procesan;;;;;x;;x;x;x;x;x;x;
AP - 0181;La visualización de datos almacenados de los que se desconfíe su procedencia debe incluir previamente un proceso de sanitización antes de ser presentados.;Desarrollo funcional o no funcional;"Mitigar ataques de XSS reflejado
Mitigar ataques que se pueden dar cuando se presenta la información al usuario final";;;;x;x;x;x;x;x;x;x;x;
AP - 0182;"La aplicación debe tener configurados las cabeceras HTTP apropiadas para el manejo de cache (Ej.: Cache-Control: no-cache; Cache-Control: no-store, entre otras)";Desarrollo funcional o no funcional;Mitigar que se almacene información confidencial en intermediarios o el cliente, por ejemplo en navegadores o CDN.  ;;;;x;x;x;;;;;;;
AP - 0183;Las aplicaciones móviles deben validar el certificado expuesto por el servidor mediante Certificate Pinning, usando un pinset que permita tener máximo dos certificados;Desarrollo funcional o no funcional;"Mitigar ataques de hombre en el medio
Mitigar ataques por ingeniería inversa
Permitir a la aplicación autenticar al servidor al que se está conectando";;;;;;x;;;;;;x;
AP - 0184;En la implementación de mecanismos de cifrado (Ej.: TLS, SSH, IPSec o aplicaciones) se debe preferir el uso de algoritmos criptográficos que implementen el Forward Secrecy (PFS o FS);Desarrollo funcional o no funcional;"Mitigar que el compromiso de las llaves usadas para el cifrado permita descifrar en el futuro las conexiones.
Hacer que las conexiones sean más seguras";;;;x;x;x;x;x;x;;;x;
AP - 0185;Las aplicaciones HTTP (Servicios o Web) solo deben soportar los métodos HTTP mínimos requeridos para su funcionamiento (Ej.: GET, POST, DELETE, etc.);Desarrollo funcional o no funcional;"Mitigar riesgos de borrado de recursos del servidor
Mitigar riesgos de actualización de recursos en el servidor
Tener un mejor control sobre las acciones que se realizan en el servidor
Mitigar las posibilidad de acceder a información del sistema y enumerar recursos";;;;x;x;;x;x;;;;x;
AP - 0186;Las aplicaciones deben estar aisladas virtual o físicamente de otras, ya sea mediante sandboxing, jails, contenerización u otro mecanismo.;Desarrollo funcional o no funcional;Mitigar que las vulnerabilidades de una aplicación no afecten a otra aplicación;;;;;x;x;x;x;x;x;x;x;
AP - 0187;Las aplicaciones que tienen un orden estricto de ejecución de pasos, deben garantizar que ninguno de los pasos pueda ser saltado a nivel técnico;Desarrollo funcional o no funcional;Mitigar que los controles definidos en los flujos de la aplicación puedan ser saltados.;;;;;x;x;x;x;x;x;x;x;
